hotel_name,hotel_class,hotel_room_price,ta_rating,ta_location,ta_cleanliness,ta_service,ta_value,review_count,url
OYO 159 San Remigio Pensionne Suites,2.5,"1,222",3.0,2.0,4.0,3.5,3.5,28,/Hotel_Review-g298460-d1918358-Reviews-OYO_159_San_Remigio_Pensionne_Suites-Cebu_City_Cebu_Island_Visayas.html
Friendly's Guesthouse Hotel,2.5,0,2.5,4.0,5.0,5.0,0,5,/Hotel_Review-g298460-d12223792-Reviews-Friendly_s_Guesthouse_Hotel-Cebu_City_Cebu_Island_Visayas.html
Feel Great Stay Condotels - San Marino,0,0,2.5,3.0,2.0,0,0,6,/Hotel_Review-g298460-d12400258-Reviews-Feel_Great_Stay_Condotels_San_Marino-Cebu_City_Cebu_Island_Visayas.html
Mambaling Pension House,3.0,491,1.0,0,0,0,0,1,/Hotel_Review-g298460-d15190508-Reviews-Mambaling_Pension_House-Cebu_City_Cebu_Island_Visayas.html
In And Go Hotel,2.5,0,0,0,0,0,0,36,/Hotel_Review-g298460-d17518737-Reviews-In_And_Go_Hotel-Cebu_City_Cebu_Island_Visayas.html
JCM Boardhauz,2.5,910,0,0,0,0,0,41,/Hotel_Review-g298460-d15278250-Reviews-JCM_Boardhauz-Cebu_City_Cebu_Island_Visayas.html
Marco Polo Flats,4.0,0,0,0,0,0,0,"1,697",/Hotel_Review-g298460-d15554855-Reviews-Marco_Polo_Flats-Cebu_City_Cebu_Island_Visayas.html
Maria Christina Arcade Building,2.5,0,0,0,0,0,0,82,/Hotel_Review-g298460-d17469985-Reviews-Maria_Christina_Arcade_Building-Cebu_City_Cebu_Island_Visayas.html
Moalboal Guesthouse,3.5,0,0,0,0,0,0,233,/Hotel_Review-g298460-d12982023-Reviews-Moalboal_Guesthouse-Cebu_City_Cebu_Island_Visayas.html
The Rooms by Alinace,2.0,0,0,0,0,0,0,82,/Hotel_Review-g298460-d17532485-Reviews-The_Rooms_by_Alinace-Cebu_City_Cebu_Island_Visayas.html
Tatiana’s Place,3.0,"1,200",0,0,0,0,0,19,/Hotel_Review-g298460-d15039690-Reviews-Tatiana_s_Place-Cebu_City_Cebu_Island_Visayas.html
Travelbee Fuente Inn,3.0,"1,143",0,0,0,0,0,23,/Hotel_Review-g298460-d16842178-Reviews-Travelbee_Fuente_Inn-Cebu_City_Cebu_Island_Visayas.html
